word,count
the,169960.0
i,135006.0
to,113629.0
and,107792.0
a,79301.0
was,64102.0
it,53118.0
of,48375.0
my,46974.0
for,44534.0
that,38300.0
in,36196.0
is,35359.0
not,34771.0
they,33382.0
with,32976.0
have,28848.0
on,28167.0
but,24929.0
you,24686.0
this,24578.0
t,24403.0
me,22091.0
had,19189.0
be,18343.0
we,17615.0
very,16206.0
as,15902.0
so,15629.0
from,15413.0
would,15382.0
are,15050.0
were,14678.0
order,13458.0
time,12888.0
when,12651.0
no,12385.0
them,12367.0
s,12329.0
service,12326.0
at,11985.0
an,11865.0
get,11779.0
all,11681.0
out,11219.0
up,11101.0
one,10613.0
your,10432.0
if,10367.0
great,10340.0
will,10296.0
or,9968.0
been,9813.0
their,9156.0
company,9102.0
good,9036.0
what,8980.0
did,8937.0
customer,8837.0
just,8754.0
there,8688.0
after,8610.0
our,8605.0
more,8213.0
do,8178.0
only,8067.0
like,8047.0
about,8022.0
can,7740.0
received,7364.0
back,7043.0
he,6835.0
has,6817.0
which,6789.0
product,6774.0
because,6763.0
experience,6536.0
shipping,6419.0
than,6267.0
by,6214.0
got,6150.0
ordered,6116.0
could,6093.0
2,5889.0
am,5749.0
never,5744.0
again,5733.0
then,5651.0
don,5605.0
also,5583.0
didn,5580.0
even,5574.0
m,5525.0
still,5443.0
use,5347.0
day,5344.0
days,5265.0
now,5152.0
some,5146.0
other,5078.0
first,5042.0
told,4945.0
over,4927.0
well,4901.0
made,4841.0
delivery,4794.0
easy,4738.0
she,4720.0
any,4711.0
work,4698.0
how,4619.0
sent,4559.0
us,4500.0
quality,4482.0
ve,4480.0
process,4480.0
3,4416.0
really,4377.0
email,4328.0
before,4282.0
make,4257.0
said,4250.0
call,4246.0
much,4214.0
way,4118.0
should,4116.0
took,4112.0
two,4062.0
money,4039.0
know,3974.0
5,3882.0
price,3846.0
new,3829.0
however,3816.0
called,3803.0
website,3775.0
need,3732.0
help,3643.0
who,3636.0
another,3600.0
too,3593.0
through,3534.0
off,3479.0
helpful,3403.0
go,3390.0
better,3375.0
1,3254.0
recommend,3245.0
needed,3238.0
everything,3226.0
phone,3215.0
times,3193.0
paid,3136.0
same,3128.0
people,3101.0
