review_title,cust_name,cust_location,cust_reviews,cust_rating,cust_review_text,seller_response,date_experience
Great range of in stock items and awesome customer service!,CHRISTOPHER SMITH,US,1,5,Great range of in stock items! They had the last two items I needed to finish a MK12 build. Outstanding customer serviced,False,"December 28, 2024"
AEM5 MUZZLE DEVICE AND COLLAR KIT 5.56 (LONG COLLAR),Cesar Marroquin,US,1,5,"AEM5 MUZZLE DEVICE AND COLLAR KIT 5.56 (LONG COLLAR) Perfect for mk12 mod 1 clone build.  Using this with Douglas mk12 barrel from PRI precision reflex. This is the short version that comes with washer and shims not the long version. This can also be installed with a crush washer if you wanted too. All in all perfect exactly what I was looking for, hard to find.  This also comes with long collar for mod 1 build. Short collar is for mod 0.   Great stuff and excellent communication.",False,"December 19, 2024"
They were efficient in all phases,Danny Neal Huffines,US,3,5,They were efficient in all phases. They took the time to explain all areas of the entire process of buying. I highly recommend esilencers.,False,"December 28, 2024"
Esilencers is always fast and easy,Weston C,US,2,5,Esilencers is always fast and easy. I didn’t have to call them but when I do they always answer promptly and are very knowledgeable.,False,"December 21, 2024"
Great dealer!,B.W.,US,1,5,Ordered my B&T TP9 factory SBR and the Form 3 was submitted the next day. Form 3 was approved 2 days later and shipped same day to my dealer. All emails were answered promptly. Solid place to do business with! Highly recommended!,False,"December 17, 2024"
Gordy clone complete!!,Kyle Fortin,US,1,5,"Ease of use, hands down. Great experience. Will do business with again for sure",False,"November 14, 2024"
Follow up email after not submitting…,Patrick A,US,3,5,Follow up email after not submitting order.  Asked for a small discount and it was granted.  Another sale that wouldn’t have happened if a follow up was not made.  Great Job!!!,False,"December 16, 2024"
Fast shipping and packaged well,Zachary Lawson,US,1,5,"Fast shipping and packaged well, have many items in stock others don’t have.",False,"December 19, 2024"
Great support,Christopher,US,10,5,Orders are filled and shipped very quickly. If some parts you order are not compatible they let you know before the items are shipped.,False,"December 21, 2024"
Ships faster than anyone I have ordered…,Christopher,US,10,5,Ships faster than anyone I have ordered from.Esilencers ships items out most of the time the next day. Other online stores I’m wondering if something happened. Esilencers is fast.,False,"November 27, 2024"
This company has the parts  I need at a…,Bob Grabler,US,2,5,"This company has the parts  I need at a competitive prices and easy ordering. Plus being a Veteran, using a Veteran owned business, I knew I was in good hands.",False,"November 22, 2024"
Good selection of product and great…,JOSHUA GROOMS,US,1,5,Good selection of product and great customer service.,False,"December 27, 2024"
Excellent customer service,Cameron Gebhart,US,1,5,Had issues placing an order. Sent a text and within minutes got a response. Issue solved almost immediately. Later went to my FFL to finish my finger prints and was notified they had been contacted and were in the process of sending off their info for the can to be shipped. 10/10 would recommend this company.,False,"September 17, 2024"
There was a mistake made on my…,Terry Josey,US,1,5,There was a mistake made on my gunsmiths part and Esilencer fixed the problem. No questions asked.,False,"December 04, 2024"
The guys at eSilencers got back to me…,Jesse Maneri,US,1,5,The guys at eSilencers got back to me asap when I had some questions my order. I needed my items to me by a specific time and they were able to accomidate with zero hesitstion. Customer service was above and beyond.,False,"October 24, 2024"
Very Quick,Logan,US,2,5,Got the in-stock notification I had requested many months back. Ordered my suppressor that day (18 Jul). Got the shipping notification on 25 Jul. Just took it home after a 5-day eForm wait. Couldn't be happier with them. I will most likely order my next purchase through them!,False,"July 18, 2024"
As soon as I made my purchase,Brandon Wilson-Lucio,US,1,5,"As soon as I made my purchase, eSilencers.com called my authorized dealer and started making arrangements for my silencer to be shipped.",False,"December 02, 2024"
It was very easy to find the right…,Robert Bybee,US,1,5,It was very easy to find the right product for my rifle and to navigate through the purchase process.,False,"November 28, 2024"
They have a great selection and get…,Christopher,US,10,5,They have a great selection and get them shipped quickly. Help over the phone is the best. I had ordered some pieces that were not compatible with each other. Esilencers called and texted me be for the parts were shipped. Great people and very aware.,False,"November 15, 2024"
Pleasantly Surprised!,Chip,US,10,5,The silencer I was interested in showed as out of stock but my local Silencer Shop dealer had exactly what I wanted.  Their sal Amanda walked me through the process (again) and I’m now in the “wait cycle”.  Couldn’t be easier unless silencers were taken off the NFA list.,False,"March 26, 2024"
Great company to shop from,Chris A,US,3,5,Had the products I was looking for at very competitive pricing. Website is easy to navigate and shipping was on time. Also earned store credit towards future orders.,False,"December 11, 2024"
Excellent Inventory and Knowledgable Staff,Zampardi,US,2,5,"I have ordered many items from biketiresdirect in the past.   After looking locally, finally purchased complete bike from them.  It was a fantastic experience.  They called to make sure I understood the frame sizing which was greatly appreciated.  The complete bike arrived and was super simple to complete without having to bring it to a bike shop.  The build was great (shifting, alignment, etc).  This was the best on-line bike purchase experience I have had.  They care about getting it right for you.",False,"November 27, 2024"
BTD has Great Service and Prices,Todd K.,US,1,5,Made quite a few orders and always get prompt service and shipping is fast even though delivery in my area usually takes extra day from typical.I had to use the return process once due to size not fitting me. The Return process was easy and also quickly resolved. Super happy and continue to use for my Road and MTB needs.,False,"December 26, 2024"
Questions about winter snow boots,Fred Faller,US,1,5,"I had some questions about winter snow boots and BTD answered them very thoughtfully. I was leaning toward one pair that was $100 more than the other I was considering, so the rep offered me the sales price from last week which dropped the price difference to $20. BTD has the best service and very competitive pricing. They are my go-to for new gear.",False,"December 16, 2024"
So consistently good,David,US,5,5,Consistently amazed at how easy it is to do business with BikeTiresDirect.com. I've made several purchases and it's always straightforward and they dispatch quickly. Always my first stop when shopping for bike stuff.,False,"December 12, 2024"
"Fast shipping, complete order, good return policy",customer,US,17,5,"Fast shipping, order was complete. Good return policy.Unfortunately, one of the items I ordered was much too small.  Returning it was hassle free, but I chose to pay the return policy out of pocket rather than rely on the BTD shipping label:  Saved $3.35 as a result.  You may want to keep this in mind if you have a return.  Btw, BTD credited my account with the difference in shipping cost.",False,"December 12, 2024"
Returns,Norman Sherran,US,18,2,Had to return a pair of gloves I was charged a restocking fee and charges a UPS fee to return. I have been a customer for years and have never returned anything. I will not order from the again. I am a gold customer.,"Hello Norman,Sorry you feel that way, the cost simply covers the return shipping cost and transaction cost. The two pairs of gloves you ordered were 40% off and an amazing deal, we can only discount so much and keep the lights on.As always, opting for store credit voids restocking fees.Thank you,BTD","December 26, 2024"
BikeTiresDirect.com is a great place to buy cycling products,Jim Gayden,US,13,5,"I do most of my buying over the internet these days.  And I'm an avid cyclist, whom is always in need of cycling products.  Whether it's for repairs, maintenance or upgrades.  And cycling clothing wears out too.  So having a conveneint place to do my online buying for cycling products is important to me.  Bike Tires Direct is a great place to do both online purchasing and in-store.  Because it's located less than 10 miles from me.  So I can hop on my bike, drive or order online very conveniently.  Because Bike Tires Direct always has ggod prices and their website is great for easily and readily finding what I need.",False,"December 06, 2024"
Biketiresdirect is at the top of my preferred vendors list,Ron,US,1,5,"Generally the best prices or very competitive pricing.  Prompt delivery.  Biketiresdirect is at the top of my preferred vendors list.  I almost always check BTD before ordering cycling gear and tools.  The ""annual"" BTD warehouse sale is a ""must attend event.""",False,"December 12, 2024"
Ordered item on sale but out of stock,LML,US,5,5,Ordered item on sale but out of stock. Item arrived sooner than expected. Used alternate method of payment so I wouldn't be billed until item shipped.  All good.,False,"December 24, 2024"
I needed a front wheel due to a crash,Jim,US,6,5,I needed a front wheel due to a crash.  I ordered an Easton wheel and Shimano brake rotor that was compatible with my brake setup.  Prices for both items were good and I received the wheel and rotor within 1 week without expedited shipping.  I am back on the road.,False,"December 27, 2024"
Excellent I've Come to Expect,James Armstrong,US,7,5,"The item I ordered on line came within a few days and was just what I expected.  I've been ordering items from Bike Tires Direct for years.  Every purchase experience so far has been perfect.  When I need an item for mountain biking or riding on the road, I go first to Bike Tires Direct.  Easy process, quick turnaround, total satisfaction!",False,"December 04, 2024"
The folks at BikeTires Direct know…,Joey Reyes,US,1,5,"The folks at BikeTires Direct know their stuff.I've been ordering from them for about 6 years or so.I live in Sherman Oaks & they offer better deals than local bike shops.My orders always arrive on time & complete.Friendly, knowledgeable, honest staff will answer your questions & direct you the right product.",False,"December 03, 2024"
Great prices and service,Chris Benson,US,1,5,"Great prices, but also great service. I had a recent return to swap for a different size and Josh in customer service was awesome.",False,"December 26, 2024"
Exactly what I needed and received…,Jason,US,2,5,Exactly what I needed and received items quickly!  One was a Christmas gift and needed before the holiday.  No problem.,False,"December 20, 2024"
Best in the Biz,Telford Byers,US,1,5,Without a doubt they went out of their way to make my order right. Definitely will do business again with BikeTiresDirect. Big thumbs up.,False,"December 18, 2024"
Fast and dependable,Lou P.,US,9,5,"Placed an order for a new Garmin unit. Shipping was fast, it showed up right on time and was securely packaged.",False,"December 26, 2024"
Super fast shipping,Joe Angell,US,1,5,"Super fast shipping, very reliable and good prices.  I've ordered many times from them and it's always been great.",False,"December 15, 2024"
Biketiresdirect ships quickly,Frank Gladics,US,6,5,Biketiresdirect get the things I purchase ship out to PDQ.  They carry quality products and have always been very helpful helping me decide which products to purchase. And they carry tires too.,False,"December 19, 2024"
Returns are a hassle,Timothy,US,2,1,"Long time customer of BTD, order items every other month or so 100$ or more usually to ensure free shipping. I buy everything from tires to clothing to components, been a goldmember for over ten years! Last order Dec 2 was the first time I ever had to return an item (thermal bib tights). Cannot believe how I was treated, returned my item in original box and bag with all tags attached, called Dec 17 to get an update on the refund, they sent me an email the next day saying item was dirty and merchandise credit would only be given with a 27$ reprocessing fee! So much for being a loyal customer for 10 years, very devastated over this!","Hello,We are sorry you feel that way, but the bibs were returned in such a way that due to hygiene issues ( evidence of worn without undergarments) we cannot resell them to another customer. We cannot return them to the vendor, so they have to be thrown out. We expect items being returned for a refund to be sent back clean and in the condition we sent them.So yes we charged a restocking fee instead of sending them back to you.After your call, we reversed as a courtesy.Thank you,BTD","December 17, 2024"
Up north sports was very prompt with…,Brian,US,1,5,Up north sports was very prompt with our order we absolutely love the products we order .   higley recommend this company.,False,"December 12, 2024"
New snow gear,Sidney,US,1,5,Ordered most of a new snowmobile set up from Black Friday deals. My order was shipped quickly and the emails kept me well informed on what was happening and the customer service was great about answering my questions.,"We appreciate your kind words and are thrilled to hear about your positive experience. We strive to provide our customers with the best possible service, and we're glad you found our communication and customer support helpful. We're happy you enjoyed the Black Friday deals and hope you have a great time with your new snowmobile.","December 11, 2024"
Boots came on time,Helen,US,1,5,Boots came a day before expected. Customer service was great help when I became worried about arriving on time. They easier my mind and assured me it will be here. My son love the snow mobli boots.,We're thrilled to hear your son loves his new snowmobile boots! We appreciate you taking the time to share your positive experience. We're also glad our customer service team was able to ease your mind about the delivery.,"December 12, 2024"
Great price on Great boots,Randy,US,1,5,"Great price on Great boots.Shipped pretty quickly and arrived in good condition, and within a day or two of promised date.","We appreciate you taking the time to share your positive experience. We're glad you were happy with the price, shipping speed, and condition of your boots. We strive to provide excellent service and are pleased to hear we met your expectations.","December 13, 2024"
"Seems great, fast shipping",travis,US,1,5,"I bought the Apex suit at the St Paul ice fishing show and they shipped it to my door by Wednesday I think. Super fast shipping, salesman at show was great. Haven’t worn them yet so can’t speak to warmth, had a knee injury the next weekend so I won’t be able to fish for a month anyway","We appreciate you taking the time to share your experience with us. We're glad to hear you had a positive experience with our salesman at the St Paul ice fishing show and that your suit arrived quickly. We understand you haven't had the chance to wear the suit yet, but we're confident you'll be happy with it. We wish you a speedy recovery from your knee injury and hope you'll be back on the ice soon.","December 09, 2024"
Very helpful,Debbie,US,2,5,Very helpful!  The Gift Card that I had attempted to use for the purchase did not work . . but Up North Sports let me know of the situation and worked with me to clear up the payment situation and made sure that the item I purchased was delivered on time for christmas,"We appreciate your kind words and are glad to hear that you found our team helpful. We understand that payment issues can be frustrating, and we're happy that we were able to resolve the situation and ensure your purchase arrived on time for Christmas.","December 10, 2024"
