review_title,cust_rating,cust_review_text,date_experience,comment_length,sentiment
Decent Sportswear Clothing,4,ive buy item nike year quality seem generally good apart random tshirt year ago slightly wear air max approximately wear new order easy appreciate free delivery local nike outlet decent range stock love nike overall selection everyone discount external provider okay loyalty programme need improvement never deal really customer service return handle great,2025-02-19T00:40:05.000Z,531,0.19086452762923353
Nike is the most inflexible company I…,1,nike inflexible company deal travel one hour birmingham outlet check nike website close time website incorrect information shop close two minute refuse let u today deal customer service regard exchange trainer gift child absolutely flexibility shop make much profit switch sport brand,2025-02-17T21:22:22.000Z,496,0.0375
Trash ,1,unbelievable accessory trainer miss customer service useless month later tell return trainer refund cant part miss send charge load better service cheaper site keep money spend else avoid,2025-02-16T16:12:56.000Z,301,-0.07187499999999998
Terrible quality and even worse…,1,terrible quality even worse customer service jogger develop multiple circular hole fabric deterioration clear manufacture defect report nike november photo proof purchase ignore week try deflect blame retailer explain retailer confirm manufacture issue nike simply stop respond january absolutely disappoint product quality nike handle defect dont stand behind product ignore legitimate quality complaint save money buy company actually care customer,2025-02-18T18:13:17.000Z,643,-0.19499999999999998
Great to deal with great trainers with…,5,great deal great trainer postage pay bonus love jordan great price great fit transaction go smoothly,2025-02-18T20:05:39.000Z,145,0.642857142857143
Absolutely ruined my mums birthday,1,absolutely ruin mum birthday take responsibility actually kick customer help chat say wasnt satisfy customer service provide word cant explain angry,2025-02-15T11:51:32.000Z,223,0.04999999999999999
Big Brand doesn't need to concern themselves with customer care,1,global brand website shock hard order app isnt better constantly get error code speak agent try clear cache go incognito etc still help,2025-02-12T09:03:13.000Z,214,-0.13194444444444445
Garbage ass QC for this shitty company…,1,garbage as qc shitty company crappy service company way interest hype keep customer happy,2025-02-15T14:05:07.000Z,141,0.5166666666666667
Nike: customer service absolute useless,1,christmas nike gift card purchase tesco scammed someone unbeknown take note cardpin number purchase go purchase use card nil balance phone nike customer care interest call liar rudeabusive put phone complaint section manager speak nike company take money provide servicecare,2025-02-10T23:59:22.000Z,479,-0.14027777777777778
Horrible treatment and customer service ,1,order gift son birthday suppose arrive day advance almost month later delay carrier reason ignore rudely treat nike customer service feel bully scar company steal money like,2025-02-11T17:14:41.000Z,315,-0.15
Dont buy Nike online from Nike.com! They will send you the bad shoes.,1,dont buy nike online nikecomi buy pair style one gym one wear street pair bad one leave shoe dirty lot suede look horrible pair completely unmatched one smooth proper one crack look like right shoe compress long time probably never buy nike definitely never online nike,2025-02-15T23:09:16.000Z,436,-0.13956043956043956
Scammed For My Money And No Reimbursement.,1,order shoe girlfriend black nike hoodie self order th jan supposedly mean deliver th jan however per show dpd delivery photograph parcel deliver another door another floor completely different person different ethnicity take month day get back first decision investigation tell deliver correct address good clearly show delivery photograph parcel deliver completely different person check neighbour apartment one seem follow reinvestigation get back week later let know cant anything situation make matter worse paper stick door address parcel kindly leave front door enrage situation order total sum leave large sum money miss account also none good pay hard earn money let alone valentine gift girlfriend ruin customer nike since shop feel disrespect disregard scammed recommend spend large amount money nike online disappoint disregard,2025-02-18T18:22:59.000Z,1493,-0.04367167919799499
Don't order online from them you will be disappointed ,1,customer service unhelpful dismissive try return defective pair shoe refuse take responsibility blame wear tear even though shoe barely use return process unnecessarily complicate,2025-02-14T19:19:51.000Z,253,-0.225
"No shoes, no money. They are Thiefs!!",1,order pair shoe wait month arrive since good decide return post cycleon company deal return package disappear say refund becouse get altought prove send back post never ever order stop buy nike customer service pile shit,2025-02-11T14:13:55.000Z,409,-0.25
Absolutely shocking customer service,1,absolutely shock customer service purchase pair trainer prior christmas receive post wear pair trainer dirt around sol also glue way around joint rubber sole leather put complaint constantly get fob athlete netherlands germany eventually week get managerwas offer apology gift voucher code could use next purchase next purchase gift card voucher wouldnt work tell purchase new trainer call would refund amount needless say havent do week never speak anyone senior promise call back probably time every time dont bother shock poor customer service company let alone multibillion pound company interest see comment disgust treat customer,2025-02-11T12:32:19.000Z,1026,-0.26347402597402597
Why change the Nike air force 1 ,1,change nike air force aint break dont fix lv uncomfortable look dodgy shape around toe box aint cut corner makemore profit give consumer cheap version classic first time year put new pair nike air force hurt foot who dumb idea,2025-02-12T13:53:28.000Z,388,-0.035984848484848495
Love Nike kept my feet comfy for over a…,5,love nike keep foot comfy decade continue future life lt,2025-02-13T01:08:54.000Z,95,0.25
Poorly glued sole on Jordan 11 low,1,buy jordan low son finally big enough wear december sole already separate im really disappoint never againpictures shoe post xjrsoldit,2025-02-09T18:56:58.000Z,221,-0.15
Don’t purchase from Nike app,1,dont purchase nike app waste time place order order get cancel without reason call agent agent say must supply id number however cannot add id number app online even try sell anything nike app pathetic cant add id dont buy support absolutely useless chat bot extremely useless could give star would would like add tell need add id number try enter nothing happen app definitely pathetic,2025-02-10T18:02:04.000Z,551,-0.64
Just dont do it!!,1,third time use online store every time disaster wait week past delivery date feedback apart bot shock brand like nike operate like never,2025-02-05T10:50:16.000Z,210,-0.4166666666666667
Poor Quality – Worn Out After Two Uses,1,buy high waisted logo legging nike expect good quality extremely disappoint two wear fabric start pill completely wear make unwearable price expect much better durability definitely worth money,2025-02-05T00:22:00.000Z,287,0.0528125
Bigger scam than Temu,1,love nike always nike trainer issue omfg big company disgust treat im go bin burn ever pair nike wish local,2025-02-12T08:43:41.000Z,210,0.07916666666666666
Apalling customer service,1,order shoe last week pay delivery didnt get order receive email say order late didnt get update live chat today customer service appal leave minute get answer leave without answer waste minute try understand happen would get order customer service awfull system dont work seem know repeat question,2025-02-05T01:24:42.000Z,564,-0.026704545454545453
order and delivery,1,live estonia cant buy nike cuz cantr deliver estonia dd part eu near finland buy live finland cant estonia aliexpress even better site shame better forget brand nike store dont delivery ddd epic,2025-02-01T19:09:58.000Z,337,0.24545454545454545
My Experience with Nike Online Store,5,im nike regular client recently purchase pair shoe nike official online store couldnt happier experience product always arrive right time promise dpd courier delivery top nike outstanding starive buy shoe company past nike official truly stand thing nike need reward others loyal customer promo discount code great encourage many thank nike official,2025-01-25T15:43:13.000Z,497,0.2286706349206349
great customer care,5,great customer care recommend,2025-02-19T16:42:29.000Z,43,0.4
Worst return process out there,1,worst return process im currently struggle get refund return pair trainer say issue send refund raise senior team hear back day receive shoe week ago nothing till start chase check track issue christmas return pair defect replacement take week get sort would never buy directly nike two issue row take week resolve unacceptable one biggest brand world,2025-02-03T15:29:10.000Z,613,-0.18
Horrible shipping experience from the…,1,horrible order process ship experience nike website nike need better place order january tell would arrive february day thats temu ship date would cheaper buy item local store helpful hint want cut middle man ship time need reasonable take day process order,2025-02-01T16:31:48.000Z,428,0.028571428571428574
I bought the nike vapormax 3 weeks ago,1,buy nike vapormax week ago use time go put today bottom come undo super glue back together im soooooo sad fell apart fast im rich save shoe final get crap cant believe literally shoe fake rubber corner piece fell lol make vietnam cheap labor cheap shoe,2025-02-06T19:29:07.000Z,433,0.013257575757575772
Absolutely not worth the money and…,1,absolutely worth money service horrible order shoe nike motova nike motiva goretexi previously year already nike motiva think great use walk work km dailyfirst day wear goretex one rain opt bus bu time get work foot swim water thats min walk bus min bus worki want size big ask send half size smaller explain issuethe next day try shoe exactly sameeven colour though ill die walk foot break half think might issue itsent back well day later still money back replacement today finally tell process refund take another atleast day chat ask email anywhere able write complaint refuse email disconnect chat,2025-02-12T12:28:00.000Z,998,-0.056944444444444436
Poor Quality. Even Worse Delivery,1,order shoe three time nikecom first pair use second pair excessive glue one shoe last pair didnt even open delivery person lasership literally throw package onto porch damage porch camera totally miss see package suppose place nikecom absolute worst experience would recommend,2025-01-30T21:59:41.000Z,421,-0.08888888888888889
Zero stars,1,zero star return two pair trainer reimburse one contact help desk via chat phone fob ask speak supervisor complaint desk tell possible appear procedure complain customer service follow issue chatbothelp desk empower resolve still reimburse dreadful,2025-01-31T12:31:39.000Z,446,-0.3333333333333333
I got a voucher for 120euro and the…,1,get voucher euro product want euro make impossible order set item spend week customer support get work alasthey promise call back time never hear anything back desperation spend money use voucher drive hour physical store try luck therelast time buy,2025-02-06T20:44:06.000Z,413,-0.033333333333333326
"“Just Do It” Means Taking Responsibility, Nike!",1,trust nike size chart gift inaccurate info leave wrong size extra cost rude response blame mistake global brand refuse expect nike take responsibility customer,2025-01-28T21:36:06.000Z,278,-0.05714285714285715
excellent customer service,5,excellent customer service trainer arrive quick well within delivery time frame happy,2025-02-14T22:05:07.000Z,101,0.7777777777777777
Overall not too bad but you should work…,3,overall bad work customer care,2025-02-14T02:30:34.000Z,56,-0.3499999999999999
Nike are useless now,1,three order christmas one deliver someone else take day nike check take second another lose delivery shock nike really go backwards opportunity knock adidas new balance nike please take responsibility awful service dont say customer abusive moan politely everyone moan want nothing bunch waster,2025-01-15T13:29:12.000Z,462,-0.23272727272727273
Nike it’s my mark,5,nike marka new purchase nike time beautiful comfortable child,2025-02-07T14:01:50.000Z,93,0.5121212121212121
Brought 2 T-Shirts and they fit…,4,bring tshirts fit perfectly also purchase air force arrive day purchase,2025-02-05T03:39:39.000Z,113,0.7
ohhhhhh it`s really best shoes company,5,ohhhhhh really best shoe company run lot like shoe much,2025-02-10T15:40:35.000Z,87,0.80517578125
Hopeless customer service ,1,order trainer son didnt arrive due date wait day contact customer service hour two web chat later tell option wait yesterday date point would contact u discus option absolutely hopeless,2025-01-17T23:15:34.000Z,307,-0.025
